row_id,person_id,name,description,birth_date
people_34339,Q3694931,Gurdas Maan,"Indian actor, singer and writer",1957-01-04T00:00:00Z
people_34340,Q3695730,Shaan Shahid,"Pakistani actor, screenwriter and director",1971-04-27T00:00:00Z
people_34341,Q3696444,Carl Anthony Payne II,American actor (born 1969),1969-05-24T00:00:00Z
people_34342,Q3696452,Craig Gillespie,Australian film director,1967-09-01T00:00:00Z
people_34343,Q36970,Jackie Chan,Hong Kong actor and martial artist (born 1954),1954-04-07T00:00:00Z
people_34344,Q3697536,Cristina Golotta,Italian actress,1968-10-02T00:00:00Z
people_34345,Q3697742,Crisula Stafida,Italian actress,1981-11-16T00:00:00Z
people_34346,Q369872,Hutch Dano,American actor,1992-05-21T00:00:00Z
people_34347,Q3698901,Crystal Hunt,American actress,1985-02-05T00:00:00Z
people_34348,Q3698926,Álvaro Cervantes,Spanish actor,1989-09-12T00:00:00Z
people_34349,Q3699905,Cynthia Mort,American screenwriter,1956-06-18T00:00:00Z
people_34350,Q3700324,Piotr Machalica,Polish actor (1955–2020),1955-02-13T00:00:00Z
people_34351,Q37005341,Eline Powell,Belgian actor,1990-04-12T00:00:00Z
people_34352,Q370079,François Maistre,actor (1925-2016),1925-05-14T00:00:00Z
people_34353,Q3700922,Daisuke Yamanouchi,actor,1972-07-04T00:00:00Z
people_34354,Q3701012,Dale Dudley,American actor,1961-08-15T00:00:00Z
people_34355,Q370108,Angelo Rossitto,American actor (1908-1991),1908-02-18T00:00:00Z
people_34356,Q3701432,Pete Holmes,American comedian (born 1979),1979-03-30T00:00:00Z
people_34357,Q3701496,Dane DiLiegro,American actor and basketball player,1988-08-06T00:00:00Z
people_34358,Q370155,David Johansen,American singer (1950–2025),1950-01-09T00:00:00Z
people_34359,Q3701571,Zdeněk Lukeš,"Czech architect, art historian, publicist and university educator (born 1954)",1954-03-02T00:00:00Z
people_34360,Q3701573,Daniel Brochu,Canadian actor,1980-02-28T00:00:00Z
people_34361,Q3701580,Daniel Clark,American actor and singer,1985-10-14T00:00:00Z
people_34362,Q3701661,Daniel London,American actor,1973-01-01T00:00:00Z
