row_id,movie_id,person_id,statement_id
directors_8070,Q1423020,Q295207,q1423020-60C8CFAD-2AF3-4D22-843D-4281354DBFA3
directors_8071,Q1423331,Q130527427,Q1423331-483B387F-378B-4111-8627-70D574582367
directors_8072,Q1423667,Q55258,q1423667-E334F608-245B-41EF-B73F-3751F7D4ACBE
directors_8073,Q1423695,Q726126,q1423695-3B0084EC-9A9D-4DC9-8DFF-2A3DEF441169
directors_8074,Q1423767,Q8003385,q1423767-9C872CFE-FADD-4328-B7C2-4600003298AA
directors_8075,Q1423820,Q104726,Q1423820-2898826C-091C-4687-A756-F96D54CF9F48
directors_8076,Q1423873,Q725970,q1423873-2A94DE1D-0734-4E40-B44D-E0C603D237F7
directors_8077,Q1423971,Q193628,q1423971-CCBF29CF-A8D5-4164-ADD0-3E47338ECE14
directors_8078,Q1424273,Q3123765,q1424273-62E0D684-8D2E-4569-A208-A5349C3F8FF9
directors_8079,Q1424273,Q3310430,q1424273-7A575B31-C7CD-4D83-9E68-6F4E26D2CCD7
directors_8080,Q14243960,Q4751248,q14243960-D40B7A6E-C52E-4F47-AF3F-787FF0D194D6
directors_8081,Q1424825,Q51516,q1424825-9E5B8B63-D7B7-425A-95B7-D4FB4B370DDD
directors_8082,Q1424884,Q4834237,q1424884-B12CB5D5-1294-418F-A041-00343217E32F
directors_8083,Q1424889,Q1757186,q1424889-10D9F32D-8643-46D5-90A8-48AE2E052F22
directors_8084,Q1424889,Q1889351,q1424889-56FAE3FA-0EAB-41F9-9202-58077D57718C
directors_8085,Q1424930,Q43264,q1424930-DD56334E-698E-4727-8E5C-ABE59F4FE019
directors_8086,Q1425300,Q4320307,q1425300-8DE1104C-F0BA-43D9-A4A3-833A5ED856F5
directors_8087,Q1425685,Q19560071,Q1425685-71F4506C-0A9F-47F8-9648-126923615481
directors_8088,Q1426069,Q6738295,q1426069-FE146B65-605F-42D8-B12F-78ED36DCF705
directors_8089,Q142695,Q1332810,q142695-4B6FE90E-3DB7-4729-9FF1-02739D3CC2C2
directors_8090,Q1427204,Q3286556,q1427204-B206D92B-CC9F-4390-96D6-4589EE1CAB00
directors_8091,Q1427248,Q2446795,q1427248-EC6D3DD9-1809-4EEA-A381-133FE9194125
directors_8092,Q14272676,Q431191,q14272676-951D202C-87AA-4DCF-8BA4-5BE657A0D4B6
directors_8093,Q1427521,Q472868,q1427521-F4796AF9-02D1-4C67-8E55-E7F2B28B304D
directors_8094,Q1427789,Q1080068,Q1427789-3AE7E747-27BA-463A-96C5-E0B65ED69834
directors_8095,Q1428139,Q113462887,Q1428139-D6C5461F-79DB-495B-9F1B-E2DACA1F9615
directors_8096,Q14282473,Q109679436,Q14282473-DA818476-1022-4495-8784-3C564AD04707
directors_8097,Q1428301,Q969501,Q1428301-9A012A85-8587-4B0B-B717-CD220DF0A8CF
directors_8098,Q1428455,Q16196081,Q1428455-98B48951-D77E-4CB0-9BBB-29618F22DC2A
directors_8099,Q1428689,Q21503648,Q1428689-D6458F47-33AB-4A55-9890-D2E51BF674E1
